cik,fund,group,corp
0001541617,Altimeter,타이거컵,0
0001135730,Coatue,타이거컵,0
0001747057,D1 Capital,타이거컵,0
0001569049,Light Street,타이거컵,0
0001061165,Lone Pine,타이거컵,0
0001167483,Tiger Global,타이거컵,0
0001387322,Whale Rock,타이거컵,0
0001801547,Blue Whale,퀄리티,0
0001671657,Dorsey Asset,퀄리티,0
0001034524,Polen Capital,퀄리티,0
0001020066,Sands Capital,퀄리티,0
0001697868,Valley Forge,퀄리티,0
0001753384,Analog Century,테마,0
0001777813,Atreides,테마,0
0001948899,Avala Global,테마,0
0001891904,Octahedron,테마,0
0002045724,Situational Awareness,테마,0
0001166564,Cyrus,행동주의,0
0001791786,Elliott Investment,행동주의,0
0000921669,Icahn Enterprises,행동주의,0
0001281084,Monarch Alternative,행동주의,0
0001336528,Pershing Square,행동주의,0
0001316622,Redwood,행동주의,0
0001647251,TCI Fund Management,행동주의,0
0001040273,Third Point,행동주의,0
0001418814,ValueAct Capital,행동주의,0
0001061768,Baupost Group,가치,0
0001697591,CAS Investment,가치,0
0001549575,Dalal Street,가치,0
0001709323,Himalaya Capital,가치,0
0001566887,Ratan Capital,가치,0
0001607512,Segra,가치,0
0001559706,Slate Path,가치,0
0001543170,Spruce House,가치,0
0000900529,Ardsley,소형,0
0001015083,Emerald,소형,0
0001570284,Gator,소형,0
0001056823,Horizon Kinetics,소형,0
0001599814,Kopernik,소형,0
0001742647,Moerus,소형,0
0001541055,Nokomis,소형,0
0001050464,Peconic,소형,0
0001105838,Robotti Value Investors,소형,0
0000906304,Royce Investment Partners,소형,0
0001656456,Appaloosa,기타,0
0001536411,Duquesne Family Office,기타,0
0001166559,Gates Foundation Trust,기타,0
0000934639,Maverick Capital,기타,0
0001029160,Soros Fund Management,기타,0
0001103804,Viking Global,기타,0
0001079114,Greenlight Capital,가치,0
0001035674,Paulson,행동주의,0
0000949509,Oaktree Capital,행동주의,0
0000898202,Omega Advisors,가치,0
0001056831,Fairholme Capital,가치,0
0001345472,Trian Fund Management,행동주의,0
0001520023,Fundsmith,퀄리티,0
0001135778,Miller Value Partners,가치,0
0001759760,H&H International,가치,0
0000915191,Fairfax Financial,가치,0
0000728014,Sequoia Fund,가치,0
0001404599,Aquamarine Capital,가치,0
0001358706,Abrams Capital,가치,0
0001641864,Giverny Capital,퀄리티,0
0001021944,Temasek Holdings,기타,0
0001767640,Public Investment Fund,기타,0
0001608046,National Pension Service,기타,0
0001088875,Baillie Gifford,기타,0
0001096343,Markel Group,가치,0
0001045810,NVIDIA,BigTech,1
0001018724,Amazon,BigTech,1
0001652044,Alphabet,BigTech,1
